date,open,high,low,close,adjusted_close,volume,dividend_amount,SMA50,SMA200
2021-01-04 00:00:00,222.53,223.0,214.81,217.69,213.314547314467,37130139.0,0.0,nan,nan
2021-01-05 00:00:00,217.26,218.52,215.7,217.9,213.520326426673,23822953.0,0.0,nan,nan
2021-01-06 00:00:00,212.17,216.4899,211.94,212.25,207.983888407807,35930653.0,0.0,nan,nan
2021-01-07 00:00:00,214.04,219.34,213.71,218.29,213.902487635054,27694480.0,0.0,nan,nan
2021-01-08 00:00:00,218.68,220.58,217.0261,219.62,215.20575534569,22956206.0,0.0,nan,nan
2021-01-11 00:00:00,218.47,218.91,216.73,217.49,213.118567207604,23047029.0,0.0,nan,nan
2021-01-12 00:00:00,216.5,217.1,213.3202,214.93,210.610021839765,23148341.0,0.0,nan,nan
2021-01-13 00:00:00,214.02,216.76,213.9266,216.34,211.991681593145,20087080.0,0.0,nan,nan
2021-01-14 00:00:00,215.91,217.46,212.74,213.02,208.738411819228,29346737.0,0.0,nan,nan
2021-01-15 00:00:00,213.52,214.51,212.03,212.65,208.375848621532,31746512.0,0.0,nan,nan
2021-01-19 00:00:00,213.75,216.98,212.63,216.44,212.089671646576,30480859.0,0.0,nan,nan
2021-01-20 00:00:00,217.7,225.79,217.2908,224.34,219.830885867644,37777260.0,0.0,nan,nan
2021-01-21 00:00:00,224.7,226.3,222.42,224.97,220.448223204261,30749553.0,0.0,nan,nan
2021-01-22 00:00:00,227.08,230.07,225.8,225.95,221.408525727887,30172663.0,0.0,nan,nan
2021-01-25 00:00:00,229.12,229.78,224.22,229.53,224.916569640726,33152095.0,0.0,nan,nan
2021-01-26 00:00:00,231.86,234.18,230.08,232.33,227.660291136801,49169601.0,0.0,nan,nan
2021-01-27 00:00:00,238.0,240.44,230.14,232.9,228.218834441359,69870638.0,0.0,nan,nan
2021-01-28 00:00:00,235.61,242.64,235.09,238.93,234.127634663262,49111159.0,0.0,nan,nan
2021-01-29 00:00:00,235.99,238.02,231.35,231.96,227.297727939105,42503138.0,0.0,nan,nan
2021-02-01 00:00:00,235.06,242.5,232.43,239.65,234.833163047967,33314193.0,0.0,nan,nan
2021-02-02 00:00:00,241.3,242.31,238.69,239.51,234.695976973164,25678356.0,0.0,nan,nan
2021-02-03 00:00:00,239.57,245.09,239.26,243.0,238.115829837914,27158104.0,0.0,nan,nan
2021-02-04 00:00:00,242.66,243.2399,240.37,242.01,237.145728308945,25296100.0,0.0,nan,nan
2021-02-05 00:00:00,242.23,243.28,240.42,242.2,237.331909410464,18054752.0,0.0,nan,nan
2021-02-08 00:00:00,243.15,243.68,240.81,242.47,237.596482554728,22211929.0,0.0,nan,nan
2021-02-09 00:00:00,241.87,244.76,241.38,243.77,238.870353249334,23471475.0,0.0,nan,nan
2021-02-10 00:00:00,245.0,245.92,240.89,242.82,237.939447741738,22117240.0,0.0,nan,nan
2021-02-11 00:00:00,244.78,245.15,242.15,244.49,239.575881634039,15751059.0,0.0,nan,nan
2021-02-12 00:00:00,243.9332,245.3,242.73,244.99,240.065831901196,16561079.0,0.0,nan,nan
2021-02-16 00:00:00,245.03,246.13,242.92,243.7,238.801760211933,26728487.0,0.0,nan,nan
2021-02-17 00:00:00,241.32,244.31,240.94,244.2,239.840454778304,21451617.0,0.56,nan,nan
2021-02-18 00:00:00,241.8,243.93,240.86,243.79,239.437774244073,16925563.0,0.0,nan,nan
2021-02-19 00:00:00,243.75,243.86,240.18,240.97,236.668117886682,25262600.0,0.0,nan,nan
